编号,类别,检查项,状态,详情,修复建议/核查要求,章节
1.1,系统安全,操作系统/数据库/中间件应及时安装补丁,通过,检测到 17 个已安装补丁，最新记录：InstallDate,,第1章 第1.1节
1.2,系统安全,防病毒软件,未通过,未检测到防病毒软件,安装符合行业要求的防病毒软件并更新病毒库（如360、卡巴斯基等）,第1章 第1.2节
1.3,系统安全,服务和端口裁剪,通过,未发现不必要的高危服务（telnet/tftp/ftp/snmp）,,第1章 第1.3节
1.4,系统安全,防火墙策略,通过,"防火墙已启用。

域配置文件 设置: 
----------------------------------------------------------------------
状态                                  启用
防火墙策略                          BlockInbound,AllowOutbound
LocalFirewallRules  ",,第1章 第1.4节
1.5,系统安全,停用冗余网络设置（NetBIOS）,未通过,NetBIOS over TCP/IP 未全部禁用，存在信息泄露风险。,网络连接→【属性】→IPv4→属性→高级→WINS 选项卡→禁用 NetBIOS over TCP/IP,第1章 第1.5节
1.6,系统安全,远程管理采取传输加密保护,通过,RDP SecurityLayer = 2，已启用TLS加密。,,第1章 第1.6节
1.17,系统安全,限制Redis等远程管理服务端口,不适用,未检测到Redis服务（端口6379）。,,第1章 第1.17节
1.24,系统安全,日志审计能力，审计日志至少保留180天,需人工核查,secedit执行失败，请手动核查审核策略,本地安全策略→高级审核策略→手动配置各类审核,第1章 第1.24节
1.25,系统安全,具备边界保护能力（实时防护）,通过,Windows Defender 实时保护已启用。,,第1章 第1.25节
1.18,系统安全,限制用户对服务器资源最大/最小使用限度,未通过,"  · 未检测到资源限制相关的组策略
","1. 启用磁盘配额：磁盘属性→配额→启用配额管理
2. 通过组策略配置用户权限和资源限制",第1章 第1.18节
1.26,系统安全,防病毒日志、补丁日志记录完整有效,未通过,"  · 未找到 Windows Defender 支持日志目录
  · 安全事件日志为空或无法读取
","1. 确认 Windows Update 服务正常运行
2. 确认 Windows Defender 实时保护已启用
3. 通过日志查看器检查安全日志是否有有效记录",第1章 第1.26节
1.7,系统安全,数据库冗余帐户,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.7节
1.8,系统安全,数据库冗余存储过程,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.8节
1.9,系统安全,数据库细粒度访问授权（表级增删改查）,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.9节
1.10,系统安全,数据库自主访问控制功能,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.10节
1.11,系统安全,数据库备份与恢复功能,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.11节
1.12,系统安全,数据库表级审计、告警和阻断功能,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.12节
1.13,系统安全,数据库数据与其他应用数据独立存储,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.13节
1.14,系统安全,中间件安全,不适用,未检测到Nginx/Tomcat服务。如业务需要请安装中间件并配置HTTPS。,,第1章 第1.14节
1.15,系统安全,数据库远程登录限制,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.15节
1.16_17,系统安全,数据库输入检查（SQL注入防护）,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.16-1.17节
1.19,系统安全,更换数据库默认设置（端口/账户）,通过,未检测到数据库默认端口（3306/1433）在用。,,第1章 第1.19节
1.20,系统安全,数据库安全策略（密码/锁定/超时）,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.20节
1.21,系统安全,数据库审计功能,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.21节
1.22,系统安全,数据库审计日志保留>=180天,不适用,未检测到MySQL服务，该项不适用。,,第1章 第1.22节
1.23,系统安全,数据库访问分离,通过,未检测到数据库对外监听端口。,,第1章 第1.23节
2.1,用户安全,登录口令设置（管理员密码不永不过期）,通过,管理员账户密码到期会定期更新。,,第2章 第2.1节
2.4,用户安全,账户唯一性,通过,"已列出所有账户，请核查是否存在重复或共享账户。

\\DESKTOP-69GEJ2G 的用户帐户

-------------------------------------------------------------------------------
Administrator            DefaultAccount           Guest                    
ryan.xiong               WDAGUtilityAccount       
命令成功完成。

",,第2章 第2.4节
2.5,用户安全,冗余服务（用户端）,通过,未发现 Telnet/FTP/RemoteRegistry 等高风险服务正在运行。,,第2章 第2.5节
2.2,用户安全,用户计算机应根据需要安装补丁程序,未通过,无法获取补丁安装记录，Windows Update可能未启用补丁。,通过Windows Update安装最新补丁，保持操作系统和管理员策略。,第2章 第2.2节
2.6,用户安全,具备阻断和告警非法连接互联网的能力,通过,"  · 防火墙出站默认策略为阻止
",,第2章 第2.6节
2.8,用户安全,终端管控措施（统一配置、外设管控、无线禁用等）,未通过,"未检测到终端管控软件
  · USB存储未禁用（USBSTOR Start=3），应为4。
",部署终端管控系统，实现统一配置、外设管控、行为审计、非法外联控制等功能,第2章 第2.8节
2.15,用户安全,安全策略配置（组策略）,未通过,未检测到组策略配置。,通过gpedit.msc配置本地安全策略,第2章 第2.15节
2.16,用户安全,操作系统/数据库/应用软件完成补丁修复升级到最新版本,未通过,"  · 无法获取操作系统补丁信息
","1. 通过Windows Update安装最新补丁
2. 将MySQL升级到8.0+稳定版本",第2章 第2.16节
2.7,用户安全,NTFS文件保护,需人工核查,无法确定文件系统类型，请手动核查,,第2章 第2.7节
2.9,用户安全,已安装软件（风险软件检查）,通过,未发现 TeamViewer/向日葵/AnyDesk/VNC/FileZilla 等高风险软件。,,第2章 第2.9节
2.10,用户安全,USB接口禁止私自连接个人移动设备,未通过,USB存储设备未禁用（USBSTOR Start=3），应为4。,将 HKLM\SYSTEM\CurrentControlSet\Services\USBSTOR\Start 设为 4,第2章 第2.10节
2.11,用户安全,口令策略和屏保设置,未通过,"  · 密码最小长度 0 < 8，要求至少8位
  · 账户锁定阈值未设置，应为5次或更少
","执行: net accounts /minpwlen:8 /lockoutthreshold:5
在显示属性设置屏幕保护程序，等待时间≤5分钟",第2章 第2.11节
2.12,用户安全,物理拆除Wi-Fi/红外/蓝牙等无线模块,未通过,"  · WLAN AutoConfig 服务正在运行（需禁用）
  · 蓝牙服务 bthserv 正在运行（需禁用）
","设备管理器中禁用或卸载无线网卡、蓝牙等设备
services.msc 中禁用 WLAN AutoConfig、Bluetooth 服务",第2章 第2.12节
2.13,用户安全,非法外联控制,通过,防火墙出站默认策略为阻止。,,第2章 第2.13节
2.14,用户安全,用户行为审计能力,未通过,安全事件日志无记录或无法读取。,本地安全策略→高级审核策略→启用登录、账户管理、特权使用等审核,第2章 第2.14节
3.1,数据安全,涉密数据采取加密保护措施（BitLocker）,需人工核查,无法确定 BitLocker 状态，请手动核查,,第3章 第3.1节
3.5,数据安全,日志保护措施（读写控制/完整性）,需人工核查,请手动检查安全日志大小（建议至少256MB）。,日志查看器→Windows日志→安全→属性,第3章 第3.5节
3.10,数据安全,数据共享合理性检查,未通过,发现非系统默认共享：命令成功完成。，请确认是否必要,"删除非必要的共享：net share 共享名 /delete
降低共享权限，移除 Everyone 完全控制",第3章 第3.10节
3.8,数据安全,数据存储系统根据重要程度划分存储区块并设置访问权限,通过,存储权限检查通过，未发现过度共享权限问题。,,第3章 第3.8节
4.15,应用安全,远程管理采取传输加密保护（NLA）,通过,NLA 已启用（UserAuthentication=1）。,,第4章 第4.15节
4.16,应用安全,支持管理员/安全员/审计员三权分立,未通过,"缺少专职分组：安全员组（Security/安全）、审计员组（Audit/审计）
当前组：
\\DESKTOP-69GEJ2G 的别名

-------------------------------------------------------------------------------
*Access Control Assistance Operators
*Administrators
*Backup Operators
*Cryptographic Operators
*Device Owners
*Distributed COM Users
*Event Log Readers
*Guests
*Hyper-V Administrators
*IIS_IUSRS
",创建专职安全管理员组、审计员组，实现权限分离，禁止同一账户兼任多种角色。,第4章 第4.16节
4.17,应用安全,业务管理终端登录采取IP地址限制,未通过,未检测到管理终端IP访问限制规则。,高级安全防火墙→入站规则→新建规则：限制RDP(3389)端口只允许指定网段IP访问,第4章 第4.17节
4.18,应用安全,具有登录失败处理功能（账户锁定）,未通过,未配置账户锁定策略，存在暴力破解风险。,"执行命令：net accounts /lockoutthreshold:5
或【本地安全策略】→【账户策略】→【账户锁定策略】设置阈值（5次）",第4章 第4.18节
4.22,应用安全,分开设置管理端口与应用端口,通过,应用端口（80/443）和管理端口（3389/445）分别监听，端口未混用。,,第4章 第4.22节
4.23,应用安全,应用服务和数据存储分离部署,通过,未检测到Web和数据库在同一台主机上混合部署。,,第4章 第4.23节
4.24,应用安全,应用系统具有日志审计功能,通过,"  · Windows 应用程序日志中有有效记录
",,第4章 第4.24节
4.6,应用安全,Web应用系统采取Web应用防火墙措施（WAF）,通过,检测到Web防护模块：IIS（可能自带模块）,,第4章 第4.6节
4.8,应用安全,网站采取网页防篡改措施,未通过,未检测到网页防篡改模块。,部署网页防篡改系统（如护卫神、安全狗等），并对关键文件进行完整性校验,第4章 第4.8节
4.12,应用安全,具备拒绝应用请求并发会话数量限制等功能,未通过,未检测到IIS/Nginx并发限制配置。,"IIS：在站点配置中设置并发连接数限制
Nginx：在nginx.conf中配置 worker_connections 和 limit_conn",第4章 第4.12节
4.21,应用安全,非默认Web应用系统发布端口,未通过,检测到Web服务使用默认端口：443,将Web服务端口从默认80/443/8080修改为非标准端口，并通过路由防火墙映射,第4章 第4.21节
4.29,应用安全,具备统一管理措施对远程管理进行限制,未通过,"  · 未配置账户锁定策略，远程登录存在被弱口令破解风险
","1. 配置防火墙规则限制RDP来源IP
2. 启用NLA：注册表 UserAuthentication=1
3. 配置账户锁定：net accounts /lockoutthreshold:5",第4章 第4.29节
4.31,应用安全,应用系统具备备份与恢复功能,通过,"检测到备份机制：
  · 检测到备份相关计划任务
",,第4章 第4.31节
4.32,应用安全,应用系统基于国产自主可控硬件或软件,未通过,"  · 操作系统为非国产系统（Microsoft Windows 10 专业版



）
",推进国产化替代：操作系统→麒麟/统信；数据库→达梦/人大金仓；中间件→东方通/普元,第4章 第4.32节
10.1,协议安全审计,协议安全审计（TLS版本配置）,通过,"TLS协议版本配置符合要求。
  · SSL 3.0 使用系统默认（未显式配置）
  · TLS 1.0 使用系统默认（未显式配置）
  · TLS 1.1 使用系统默认（未显式配置）
  · TLS 1.2 使用系统默认（通常启用）
",,第10章 第10.1节
1.26_m,系统安全,防病毒日志/补丁日志记录完整有效（人工确认）,需人工核查,请现场核查防病毒和Windows Update日志记录是否完整有效,参照作业指导书对应章节进行现场核查,第1章 第1.26节
6.1,物理安全,安全设备/网络设备/终端选型及采购目录化产品,需人工核查,请现场核查设备采购记录与集中采购目录的一致性,参照作业指导书对应章节进行现场核查,第6章 第6.1节
6.2,物理安全,安全设备/防火墙等产品通过信息安全产品认证,需人工核查,请现场核查安全产品的认证证书和检测报告,参照作业指导书对应章节进行现场核查,第6章 第6.2节
6.3,物理安全,机房布线规范，走线规范、走槽、走管,需人工核查,请现场核查机房线缆布线规范性和标识清晰度,参照作业指导书对应章节进行现场核查,第6章 第6.3节
6.4,物理安全,机房温湿度符合GB 2887-2011要求,需人工核查,请现场检查机房温湿度监控记录,参照作业指导书对应章节进行现场核查,第6章 第6.4节
6.5,物理安全,机房安装视频监控等安防设备,需人工核查,请现场核查门禁/视频监控系统等安防设备,参照作业指导书对应章节进行现场核查,第6章 第6.5节
6.6,物理安全,涉密区域与非涉密区域物理隔离,需人工核查,请现场核查机房区域划分，确认物理隔离,参照作业指导书对应章节进行现场核查,第6章 第6.6节
6.7,物理安全,涉密设备上禁止机密信息处理或存储使用,需人工核查,请现场核查涉密设备台账和实际使用记录,参照作业指导书对应章节进行现场核查,第6章 第6.7节
6.8,物理安全,选用我国可靠产品，记录所有芯片/主板/存储设备,需人工核查,请现场核查硬件设备台账和供应链可靠性,参照作业指导书对应章节进行现场核查,第6章 第6.8节
6.9,物理安全,按安全等级标注使用不同色系标签,需人工核查,请现场核查线缆和设备颜色标识是否符合规范,参照作业指导书对应章节进行现场核查,第6章 第6.9节
7.1,组织机构,设置安全管理机构和工作,需人工核查,请现场核查组织架构图和安全管理机构职责文件,参照作业指导书对应章节进行现场核查,第7章 第7.1节
7.2,组织机构,配备专职系统安全架构师和管理人员,需人工核查,请现场核查人员台账和岗位职责说明书,参照作业指导书对应章节进行现场核查,第7章 第7.2节
7.3,组织机构,设有安全管理领导小组和工作,需人工核查,请现场核查安全领导小组成立文件,参照作业指导书对应章节进行现场核查,第7章 第7.3节
7.4,组织机构,配备安全管理技术人员和专职管理人员,需人工核查,请现场核查技术人员台账和岗位职责,参照作业指导书对应章节进行现场核查,第7章 第7.4节
7.5,组织机构,建立健全的应急响应体系,需人工核查,请现场核查应急预案文档和演练记录,参照作业指导书对应章节进行现场核查,第7章 第7.5节
8.1,规章制度,建立日常安全管理规章制度/操作规程/安全守则,需人工核查,请现场核查安全管理制度文件的完整性和有效性,参照作业指导书对应章节进行现场核查,第8章 第8.1节
8.2,规章制度,设有安全管理/制度/记录/应急预案等规章制度,需人工核查,请现场核查各类规章制度文件版本和执行记录,参照作业指导书对应章节进行现场核查,第8章 第8.2节
8.3,规章制度,建立日常系统备份规章制度和使用存储介质使用管理制度,需人工核查,请现场核查备份制度和介质管理记录,参照作业指导书对应章节进行现场核查,第8章 第8.3节
8.4,规章制度,建有定期对身份鉴别和访问权限审查工作规程,需人工核查,请现场核查身份鉴别和访问权限审查记录,参照作业指导书对应章节进行现场核查,第8章 第8.4节
9.1,管理实施,建立应用系统应用应急预案，并定期演练或预案执行,需人工核查,请现场核查应急预案文档和最近一次演练记录,参照作业指导书对应章节进行现场核查,第9章 第9.1节
9.2,管理实施,设备管理人员统一配置管理、网络安全管理设备,需人工核查,请现场核查安全设备统一管理平台和配置记录,参照作业指导书对应章节进行现场核查,第9章 第9.2节
9.3,管理实施,对人员进行网络安全管理策略文档和产品，记录详细,需人工核查,请现场核查策略文档的发布、执行记录及其有效性、时效性,参照作业指导书对应章节进行现场核查,第9章 第9.3节
9.4,管理实施,每日安全巡检、每月安全检查，并填写巡检记录和报告,需人工核查,请现场核查日常巡检日志和月度安全检查报告,参照作业指导书对应章节进行现场核查,第9章 第9.4节
5.1,网络安全,跨网交换数据需经过审批,不适用,请登录边界设备/交换平台核查，超出本脚本范围,,第5章 第5.1节
5.2,网络安全,跨网交换使用专用设备,不适用,请现场核查跨网交换设备和隔离网闸措施,,第5章 第5.2节
5.3,网络安全,网络架构最小化原则,不适用,请登录网络设备核查网络拓扑和架构，超出本脚本范围,,第5章 第5.3节
5.4,网络安全,网络边界部署节点/路由/地址最小化,不适用,请登录网络设备核查，超出本脚本范围,,第5章 第5.4节
5.5,网络安全,网络内部按安全域划分,不适用,请核查VLAN和安全域划分文档,,第5章 第5.5节
5.6,网络安全,网络设备配置最小化原则全覆盖,不适用,请登录网络设备核查配置,,第5章 第5.6节
5.7,网络安全,网络设备配置唯一管理服务并限制管理终端,不适用,请登录网络设备核查管理接口,,第5章 第5.7节
5.8,网络安全,远程管理采取加密保护措施或加密的管理通道,不适用,请登录网络设备核查SSH/HTTPS配置,,第5章 第5.8节
5.9,网络安全,同链路同侧不同安全设备使用不同架构/品牌,不适用,请核查网络设备清单,,第5章 第5.9节
5.10,网络安全,采取组播/广播/阻断等控制措施,不适用,请登录网络设备核查组播控制,,第5章 第5.10节
5.11,网络安全,关键网络设备和安全设备冗余备份,不适用,请核查网络设备冗余清单,,第5章 第5.11节
5.12,网络安全,远程管理采取加密通道+加密传输协议保护,不适用,请核查远程管理通道和加密措施,,第5章 第5.12节
5.13,网络安全,接入网络安全运营中心部署的接入终端,不适用,请核查SOC/安全管理平台接入情况,,第5章 第5.13节
5.14,网络安全,与互联单元/低等级单元互联采取逻辑隔离措施,不适用,请核查隔离措施,,第5章 第5.14节
5.15,网络安全,不同单元之间通过防火墙/网闸等设备加强逻辑隔离,不适用,请核查边界安全隔离设备配置,,第5章 第5.15节
5.16,网络安全,访问控制策略实施细化到端口级,不适用,请核查防火墙/ACL配置,,第5章 第5.16节
5.17,网络安全,远程管理采用地方路由时采取加密保护措施,不适用,请核查链路路由和加密措施,,第5章 第5.17节
